Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,30.83,0.0,1,1,Industrials,White,1.25,1,1,1,0,ByBirth,00202,0,1
0,58.67,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,00043,560,1
0,24.5,0.5,1,1,Materials,Black,1.5,1,0,0,0,ByBirth,00280,824,1
1,27.83,1.54,1,1,Industrials,White,3.75,1,1,5,1,ByBirth,00100,3,1
1,20.17,5.625,1,1,Industrials,White,1.71,1,0,0,0,ByOtherMeans,00120,0,1
1,32.08,4.0,1,1,CommunicationServices,White,2.5,1,0,0,1,ByBirth,00360,0,1
1,33.17,1.04,1,1,Transport,Black,6.5,1,0,0,1,ByBirth,00164,31285,1
0,22.92,11.585,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,00080,1349,1
1,54.42,0.5,0,0,Financials,Black,3.96,1,0,0,0,ByBirth,00180,314,1
1,42.5,4.915,0,0,Industrials,White,3.165,1,0,0,1,ByBirth,00052,1442,1
1,22.08,0.83,1,1,Energy,Black,2.165,0,0,0,1,ByBirth,00128,0,1
1,29.92,1.835,1,1,Energy,Black,4.335,1,0,0,0,ByBirth,00260,200,1
0,38.25,6.0,1,1,Financials,White,1.0,1,0,0,1,ByBirth,00000,0,1
1,48.08,6.04,1,1,Financials,White,0.04,0,0,0,0,ByBirth,00000,2690,1
0,45.83,10.5,1,1,Materials,White,5.0,1,1,7,1,ByBirth,00000,0,1
1,36.67,4.415,0,0,Financials,White,0.25,1,1,10,1,ByBirth,00320,0,1
1,28.25,0.875,1,1,CommunicationServices,White,0.96,1,1,3,1,ByBirth,00396,0,1
0,23.25,5.875,1,1,Materials,White,3.17,1,1,10,0,ByBirth,00120,245,1
1,21.83,0.25,1,1,Real Estate,Black,0.665,1,0,0,1,ByBirth,00000,0,1
0,19.17,8.585,1,1,InformationTechnology,Black,0.75,1,1,7,0,ByBirth,00096,0,1
1,25.0,11.25,1,1,Energy,White,2.5,1,1,17,0,ByBirth,00200,1208,1
1,23.25,1.0,1,1,Energy,White,0.835,1,0,0,0,ByOtherMeans,00300,0,1
0,47.75,8.0,1,1,Energy,White,7.875,1,1,6,1,ByBirth,00000,1260,1
0,27.42,14.5,1,1,Utilities,Black,3.085,1,1,1,0,ByBirth,00120,11,1
